Source,Folio,Locus,Raw_Text,Clean_Text
IT2a-n,f1r,"f1r.1,@P0",<%>fachys.ykal.ar.ataiin.shol.shory.cthres.y.kor.sholdy,fachys ykal ar ataiin shol shory cthres y kor sholdy
IT2a-n,f1r,"f1r.2,+P0",sory.ckhar.or.y.kair.chtaiin.shar.are.cthar.cthar.dan,sory ckhar or y kair chtaiin shar are cthar cthar dan
IT2a-n,f1r,"f1r.3,+P0",syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sa,syaiir sheky or ykaiin shod cthoary cthes daraiin sa
IT2a-n,f1r,"f1r.4,+P0",ooiin.oteey.oteos.roloty.cth?ar.daiin.otaiin.or.okan,ooiin oteey oteos roloty daiin otaiin or okan
IT2a-n,f1r,"f1r.5,+P0",dair.y.chear.cthaiin.cphar.cfhaiin,dair y chear cthaiin cphar cfhaiin
IT2a-n,f1r,"f1r.6,=Pt",ydaraishy<$>,ydaraishy
IT2a-n,f1r,"f1r.7,*P0",<%>?.odar.o.y.shol.cphoy.oydar.sh.s.cfhoaiin.shodary,odar o y shol cphoy oydar sh s cfhoaiin shodary
IT2a-n,f1r,"f1r.8,+P0",yshey.shody.okchoy.otchol.chocthy.oschy.dain.chor.kos,yshey shody okchoy otchol chocthy oschy dain chor kos
IT2a-n,f1r,"f1r.9,+P0",daiin.shos.cfhol.shody,daiin shos cfhol shody
IT2a-n,f1r,"f1r.10,=Pt",dain.os.teody<$>,dain os teody
IT2a-n,f1r,"f1r.11,*P0",<%>?.ydain.cphesaiin.ol.s.cphey.ytain.shoshy.cphodales,ydain cphesaiin ol s cphey ytain shoshy cphodales
IT2a-n,f1r,"f1r.12,+P0",oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin,oksho kshoy otairin oteol okan shodain sckhey daiin
IT2a-n,f1r,"f1r.13,+P0",shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.she.oldain.d,shoy ckhey kodaiin cphy cphodaiils cthey she oldain d
IT2a-n,f1r,"f1r.14,+P0",dain.oiin.chol.odaiin.chodain.chdy.okain.dan.cthy.kod,dain oiin chol odaiin chodain chdy okain dan cthy kod
IT2a-n,f1r,"f1r.15,+P0",daiin.shckhey.ckeor.chor.shey.kol.chol.chol.kor.chal,daiin shckhey ckeor chor shey kol chol chol kor chal
IT2a-n,f1r,"f1r.16,+P0",sho.chol.shodan.kshy.kchy.dor.chodaiin.sho.kchom,sho chol shodan kshy kchy dor chodaiin sho kchom
IT2a-n,f1r,"f1r.17,+P0",ycho.tchey.chokain.sheo.pshol.dydyd.cthy.daicthy,ycho tchey chokain sheo pshol dydyd cthy daicthy
IT2a-n,f1r,"f1r.18,+P0",yto.shol.she.kodshey.cphealy.dasain.dain.ckhyds,yto shol she kodshey cphealy dasain dain ckhyds
IT2a-n,f1r,"f1r.19,+P0",dchar.shcthaiin.okaiir.chey.rchy.potol.cthols.dlocta,dchar shcthaiin okaiir chey rchy potol cthols dlocta
IT2a-n,f1r,"f1r.20,+P0",shok.chor.chey.dain.ckhey,shok chor chey dain ckhey
IT2a-n,f1r,"f1r.21,=Pt",otol.daiiin<$>,otol daiiin
IT2a-n,f1r,"f1r.22,*P0",<%>cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro.d?,cpho shaiin shokcheey chol tshodeesy shey pydeey chy ro
IT2a-n,f1r,"f1r.23,+P0",?doin.chol.dain.cthal.dar.shear.kaiin.dar.shey.cthar,chol dain cthal dar shear kaiin dar shey cthar
IT2a-n,f1r,"f1r.24,+P0",cho?o.kaiin.shoaiin.okol.daiin.far.cthol.daiin.ctholdar,kaiin shoaiin okol daiin far cthol daiin ctholdar
IT2a-n,f1r,"f1r.25,+P0",ycheey.okay.oky.daiin.okchey.kokaiin.??chol.k??chy.dal,ycheey okay oky daiin okchey kokaiin dal
IT2a-n,f1r,"f1r.26,+P0",d?eeo.shody.koshey.cthy.okchey.keey.keey.dal.chtor,shody koshey cthy okchey keey keey dal chtor
IT2a-n,f1r,"f1r.27,+P0",?eo.chol.chok.choty.chotey,chol chok choty chotey
IT2a-n,f1r,"f1r.28,=Pt",dchaiin<$>,dchaiin
IT2a-n,f1v,"f1v.1,@P0",<%>kchsy.chadaiin.ol<->oltchey.char.cfhar.am,kchsy chadaiin ololtchey char cfhar am
IT2a-n,f1v,"f1v.2,+P0",yteeay.char.or.ochy<->dcho.lkody.okodar.chody,yteeay char or ochydcho lkody okodar chody
IT2a-n,f1v,"f1v.3,+P0",do.ckhy.ckho.ckhy.shy<->dksheey.cthy.kotchody.dal,do ckhy ckho ckhy shydksheey cthy kotchody dal
IT2a-n,f1v,"f1v.4,+P0",dol.chokeo.dair.dam<->sochey.chokody<$>,dol chokeo dair damsochey chokody
IT2a-n,f1v,"f1v.5,+P0",<%>potoy.shol.dair.cphoal<->dar.chey.tody.otoaiin.shoshy,potoy shol dair cphoaldar chey tody otoaiin shoshy
IT2a-n,f1v,"f1v.6,+P0",choky.chol.cthol.shol.okal<->dolchey.chodo.lol.chy.cthy,choky chol cthol shol okaldolchey chodo lol chy cthy
IT2a-n,f1v,"f1v.7,+P0",qo.ol.choeee.cheol.dol.cthey<->ykol.dol.dolo.ykol.do.lchody,qo ol choeee cheol dol ctheyykol dol dolo ykol do lchody
IT2a-n,f1v,"f1v.8,+P0",okol.shol.kol.kechy.chol.ky<->chol.cthol.chody.chol.daiin,okol shol kol kechy chol kychol cthol chody chol daiin
IT2a-n,f1v,"f1v.9,+P0",shor.okol.chol.dol.ky.dar<->shol.dchor.otcho.dar.shody,shor okol chol dol ky darshol dchor otcho dar shody
IT2a-n,f1v,"f1v.10,+P0",taor.chotchey.dal.chody<->schody.pol.chodar<$>,taor chotchey dal chodyschody pol chodar
IT2a-n,f2r,"f2r.1,@P0",<%>kydainy.ypchol.daiin.otchal<->ypchaiin.ckholsy,kydainy ypchol daiin otchalypchaiin ckholsy
IT2a-n,f2r,"f2r.2,+P0",dorchory<->chkar.s<->shor.cthy.cth,dorchorychkar sshor cthy cth
IT2a-n,f2r,"f2r.3,+P0",qotaiin<->cthey.y<->chor.chy.ydy<->chaiin,qotaiincthey ychor chy ydychaiin
IT2a-n,f2r,"f2r.4,+P0",chaindy<->chtod.dy<->cphy.dals<->chokaiin.d,chaindychtod dycphy dalschokaiin d
IT2a-n,f2r,"f2r.5,+P0",otochor.al<->shodaiin<->chol.dan<->ytchaiin.dan,otochor alshodaiinchol danytchaiin dan
IT2a-n,f2r,"f2r.6,+P0",saiin.daind<->dkol.sor<->ytoldy<->dchol.dchy.cthy,saiin dainddkol sorytoldydchol dchy cthy
