Source,Folio,Locus,Raw_Text,Clean_Text
ZL3b-n,f1r,"f1r.1,@P0",<%>fachys.ykal.ar.ataiin.shol.shory.[cth:oto]res.y.kor.sholdy<!@254;>,fachys ykal ar ataiin shol shory cthres y kor sholdy
ZL3b-n,f1r,"f1r.2,+P0","sory.ckhar.or,y.kair.chtaiin.shar.ase.cthar.cthar,dan",sory ckhar or y kair chtaiin shar ase cthar cthar dan
ZL3b-n,f1r,"f1r.3,+P0",syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sy,syaiir sheky or ykaiin shod cthoary cthes daraiin sy
ZL3b-n,f1r,"f1r.4,+P0","soiin.oteey.oteo[s:r],roloty.cthiar,daiin.okaiin.or.okan",soiin oteey oteos roloty cthiar daiin okaiin or okan
ZL3b-n,f1r,"f1r.5,+P0","sair,y.chear.cthaiin.cphar.cfhaiin",sair y chear cthaiin cphar cfhaiin
ZL3b-n,f1r,"f1r.6,=Pt",ydaraishy<$>,ydaraishy
ZL3b-n,f1r,"f1r.7,*P0",<%><!@252;>odar.{c'y}.shol.cphoy.oydar.sh.s.cfhoaiin.shodary,odar shol cphoy oydar sh s cfhoaiin shodary
ZL3b-n,f1r,"f1r.8,+P0","yshey.shody.okchoy.otchol.chocthy.os,chy.dain.chor.kos",yshey shody okchoy otchol chocthy os chy dain chor kos
ZL3b-n,f1r,"f1r.9,+P0",daiin.shos.cfhol.shody,daiin shos cfhol shody
ZL3b-n,f1r,"f1r.10,=Pt",dain.os.teody<$>,dain os teody
ZL3b-n,f1r,"f1r.11,*P0","<%><!@253;>ydain.cphesaiin.ols.cphey.ytain.shoshy.cphodal,es",ydain cphesaiin ols cphey ytain shoshy cphodal es
ZL3b-n,f1r,"f1r.12,+P0",oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin,oksho kshoy otairin oteol okan shodain sckhey daiin
ZL3b-n,f1r,"f1r.13,+P0",shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.sho.oldain.d,shoy ckhey kodaiin cphy cphodaiils cthey sho oldain d
ZL3b-n,f1r,"f1r.14,+P0",dain.oiin.chol.odaiin.chodain.chdy.ok[a:o]in.d?n.cthy.kod,dain oiin chol odaiin chodain chdy okain cthy kod
ZL3b-n,f1r,"f1r.15,+P0",daiin.shckhey.{ck}eo.r.char.shey.kol.chol.chol.kor.chal,daiin shckhey ckeo r char shey kol chol chol kor chal
ZL3b-n,f1r,"f1r.16,+P0",sho.chol.shodan.kshy.kchy.d.or.chodaiin.sho.koeam,sho chol shodan kshy kchy d or chodaiin sho koeam
ZL3b-n,f1r,"f1r.17,+P0","ycho.tchey.chekain.sheo,pshol.dydyd.cthy.dai[{cto}:@194;]y",ycho tchey chekain sheo pshol dydyd cthy daictoy
ZL3b-n,f1r,"f1r.18,+P0","yto.shol.she.kodshey.cphealy.dar,ain.dain.ckhyds",yto shol she kodshey cphealy dar ain dain ckhyds
ZL3b-n,f1r,"f1r.19,+P0",dchar.shcthaiin.okaiir.chey.@192;chy.@130;tol.cthols.dlo{ct}o,dchar shcthaiin okaiir chey chy tol cthols dlocto
